TheSunX,TheSunY,TheSunZ,MercuryX,MercuryY,MercuryZ,VenusX,VenusY,VenusZ,EarthX,EarthY,EarthZ,MarsX,MarsY,MarsZ,JupiterX,JupiterY,JupiterZ,SaturnX,SaturnY,SaturnZ,UranusX,UranusY,UranusZ,NeptuneX,NeptuneY,NeptuneZ,PlutoX,PlutoY,PlutoZ,
5.5697e+08,2.00597e+08,-2.40436e+07,5.47657e+10,-1.17269e+10,-5.9672e+09,-1.04843e+11,1.74802e+10,6.29981e+09,-1.52617e+09,1.47549e+11,-5.35678e+07,-2.43707e+11,4.20725e+10,6.83426e+09,-7.7019e+11,2.47065e+11,1.61866e+10,-5.60803e+11,-1.38683e+12,4.64346e+10,2.82546e+12,9.76233e+11,-3.29967e+10,4.18108e+12,-1.61567e+12,-6.3093e+10,1.2734e+12,-4.76876e+12,1.42118e+11,
5.56976e+08,2.00639e+08,-2.40437e+07,5.47693e+10,-1.15489e+10,-5.95302e+09,-1.04863e+11,1.73547e+10,6.29926e+09,-1.63524e+09,1.47546e+11,-5.35651e+07,-2.43719e+11,4.19939e+10,6.83289e+09,-7.70205e+11,2.47022e+11,1.61871e+10,-5.60772e+11,-1.38684e+12,4.64336e+10,2.82546e+12,9.76255e+11,-3.29965e+10,4.18108e+12,-1.61565e+12,-6.30935e+10,1.27341e+12,-4.76876e+12,1.42112e+11,
5.56981e+08,2.00682e+08,-2.40439e+07,5.47724e+10,-1.13708e+10,-5.93878e+09,-1.04883e+11,1.72292e+10,6.2987e+09,-1.74431e+09,1.47544e+11,-5.35623e+07,-2.4373e+11,4.19154e+10,6.83152e+09,-7.7022e+11,2.46979e+11,1.61876e+10,-5.60742e+11,-1.38685e+12,4.64326e+10,2.82545e+12,9.76277e+11,-3.29963e+10,4.18109e+12,-1.61564e+12,-6.30941e+10,1.27343e+12,-4.76876e+12,1.42107e+11,
5.56987e+08,2.00725e+08,-2.40441e+07,5.47749e+10,-1.11925e+10,-5.92447e+09,-1.04903e+11,1.71037e+10,6.29812e+09,-1.85338e+09,1.47542e+11,-5.35594e+07,-2.43741e+11,4.18369e+10,6.83015e+09,-7.70234e+11,2.46937e+11,1.61881e+10,-5.60712e+11,-1.38687e+12,4.64316e+10,2.82544e+12,9.76299e+11,-3.29961e+10,4.1811e+12,-1.61562e+12,-6.30946e+10,1.27345e+12,-4.76876e+12,1.42101e+11,
5.56993e+08,2.00768e+08,-2.40443e+07,5.47769e+10,-1.10141e+10,-5.91011e+09,-1.04923e+11,1.69782e+10,6.29754e+09,-1.96245e+09,1.47539e+11,-5.35566e+07,-2.43752e+11,4.17583e+10,6.82878e+09,-7.70249e+11,2.46894e+11,1.61886e+10,-5.60681e+11,-1.38688e+12,4.64307e+10,2.82543e+12,9.76321e+11,-3.29959e+10,4.1811e+12,-1.6156e+12,-6.30952e+10,1.27347e+12,-4.76875e+12,1.42095e+11,
5.56999e+08,2.0081e+08,-2.40445e+07,5.47783e+10,-1.08356e+10,-5.8957e+09,-1.04943e+11,1.68526e+10,6.29696e+09,-2.07151e+09,1.47537e+11,-5.35538e+07,-2.43763e+11,4.16798e+10,6.82741e+09,-7.70264e+11,2.46852e+11,1.61891e+10,-5.60651e+11,-1.38689e+12,4.64297e+10,2.82542e+12,9.76343e+11,-3.29957e+10,4.18111e+12,-1.61558e+12,-6.30957e+10,1.27349e+12,-4.76875e+12,1.4209e+11,
5.57005e+08,2.00853e+08,-2.40447e+07,5.47792e+10,-1.0657e+10,-5.88122e+09,-1.04962e+11,1.6727e+10,6.29636e+09,-2.18057e+09,1.47534e+11,-5.35509e+07,-2.43775e+11,4.16012e+10,6.82604e+09,-7.70279e+11,2.46809e+11,1.61896e+10,-5.60621e+11,-1.38691e+12,4.64287e+10,2.82542e+12,9.76365e+11,-3.29955e+10,4.18112e+12,-1.61556e+12,-6.30962e+10,1.27351e+12,-4.76875e+12,1.42084e+11,
5.57011e+08,2.00896e+08,-2.40449e+07,5.47796e+10,-1.04783e+10,-5.86668e+09,-1.04982e+11,1.66014e+10,6.29575e+09,-2.28964e+09,1.47532e+11,-5.3548e+07,-2.43786e+11,4.15227e+10,6.82466e+09,-7.70294e+11,2.46767e+11,1.61901e+10,-5.6059e+11,-1.38692e+12,4.64277e+10,2.82541e+12,9.76387e+11,-3.29954e+10,4.18113e+12,-1.61554e+12,-6.30968e+10,1.27353e+12,-4.76875e+12,1.42078e+11,
5.57017e+08,2.00939e+08,-2.40451e+07,5.47794e+10,-1.02995e+10,-5.85209e+09,-1.05001e+11,1.64758e+10,6.29514e+09,-2.3987e+09,1.47529e+11,-5.35451e+07,-2.43797e+11,4.14441e+10,6.82329e+09,-7.70309e+11,2.46724e+11,1.61906e+10,-5.6056e+11,-1.38693e+12,4.64267e+10,2.8254e+12,9.76409e+11,-3.29952e+10,4.18113e+12,-1.61553e+12,-6.30973e+10,1.27355e+12,-4.76875e+12,1.42073e+11,
5.57023e+08,2.00982e+08,-2.40453e+07,5.47786e+10,-1.01206e+10,-5.83744e+09,-1.0502e+11,1.63501e+10,6.29451e+09,-2.50776e+09,1.47526e+11,-5.35422e+07,-2.43808e+11,4.13655e+10,6.82191e+09,-7.70324e+11,2.46681e+11,1.61911e+10,-5.6053e+11,-1.38695e+12,4.64258e+10,2.82539e+12,9.76431e+11,-3.2995e+10,4.18114e+12,-1.61551e+12,-6.30979e+10,1.27357e+12,-4.76875e+12,1.42067e+11,
